id_cxc,estado_pago,vlr_original,vlr_pendiente_pago,producto,tipo_transaccion,rango_monto,prob_pago,valor_esperado_recuperar,valor_en_riesgo
19495,PAGADO,1203.31,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,2. MEDIO (1K-5K),0.9988,0.0,0.0
20179,PAGADO,548.7,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.9992,0.0,0.0
20854,PAGADO,1295.25,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,2. MEDIO (1K-5K),0.9992,0.0,0.0
21520,PAGADO,902.37,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.9989,0.0,0.0
1141,PARCIAL,836.8,98.53,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.0001,0.01,98.52
1809,PARCIAL,814.91,110.41,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.0001,0.01,110.4
2482,PARCIAL,855.47,131.08,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.0001,0.01,131.07
3150,PARCIAL,884.21,151.17,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.0001,0.02,151.15
3820,PARCIAL,842.98,159.08,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.0001,0.02,159.06
5166,PENDIENTE,824.32,824.32,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.0001,0.08,824.24
5854,PARCIAL,889.88,215.29,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.0001,0.02,215.27
6551,PARCIAL,913.06,237.1,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.0001,0.02,237.08
7247,PARCIAL,857.01,237.75,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.0001,0.02,237.73
7916,PARCIAL,890.1,262.72,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.0001,0.03,262.69
8600,PARCIAL,834.0,260.96,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.0001,0.03,260.93
9287,PENDIENTE,852.24,852.24,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.0001,0.09,852.15
10635,PARCIAL,808.58,296.04,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.0001,0.03,296.01
11313,PARCIAL,877.75,336.94,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.0001,0.03,336.91
11991,PENDIENTE,817.97,817.97,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.0001,0.08,817.89
14047,PARCIAL,862.87,392.47,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.0001,0.04,392.43
14727,PENDIENTE,824.18,824.18,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.0001,0.08,824.1
15427,PARCIAL,828.17,406.07,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.0001,0.04,406.03
16769,PARCIAL,872.3,458.66,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.0001,0.05,458.61
17436,PENDIENTE,858.45,858.45,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.0001,0.09,858.36
18131,PARCIAL,853.58,479.11,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.0001,0.05,479.06
18805,PARCIAL,812.38,470.39,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.0001,0.05,470.34
19486,PENDIENTE,825.64,825.64,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.0001,0.08,825.56
20170,PARCIAL,839.23,515.72,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.0001,0.05,515.67
20844,PARCIAL,909.31,574.92,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.0001,0.06,574.86
21510,PARCIAL,911.91,592.74,AHORRO,CARGO FISCAL TRANSACCIONAL,1. BAJO (<1K),0.0001,0.06,592.68
970,PAGADO,5799.11,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,3. ALTO (5K-20K),0.9977,0.0,0.0
2992,PAGADO,5673.2,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,3. ALTO (5K-20K),0.998,0.0,0.0
3652,PAGADO,5500.07,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,3. ALTO (5K-20K),0.999,0.0,0.0
5688,PAGADO,5944.04,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,3. ALTO (5K-20K),0.9989,0.0,0.0
6380,PAGADO,5656.06,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,3. ALTO (5K-20K),0.9988,0.0,0.0
7749,PAGADO,5911.04,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,3. ALTO (5K-20K),0.9983,0.0,0.0
8434,PAGADO,5786.26,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,3. ALTO (5K-20K),0.999,0.0,0.0
9118,PAGADO,5671.57,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,3. ALTO (5K-20K),0.9992,0.0,0.0
9802,PAGADO,6053.44,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,3. ALTO (5K-20K),0.9992,0.0,0.0
10478,PAGADO,5973.06,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,3. ALTO (5K-20K),0.9992,0.0,0.0
11155,PAGADO,5309.22,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,3. ALTO (5K-20K),0.9984,0.0,0.0
11825,PAGADO,6012.55,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,3. ALTO (5K-20K),0.9988,0.0,0.0
12502,PAGADO,5537.69,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,3. ALTO (5K-20K),0.9994,0.0,0.0
13188,PAGADO,5495.53,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,3. ALTO (5K-20K),0.9991,0.0,0.0
13879,PAGADO,5949.09,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,3. ALTO (5K-20K),0.9994,0.0,0.0
14570,PAGADO,5632.51,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,3. ALTO (5K-20K),0.9989,0.0,0.0
15262,PAGADO,5618.72,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,3. ALTO (5K-20K),0.9993,0.0,0.0
15929,PAGADO,5915.97,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,3. ALTO (5K-20K),0.9973,0.0,0.0
16602,PAGADO,5994.73,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,3. ALTO (5K-20K),0.9994,0.0,0.0
17274,PAGADO,5720.53,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,3. ALTO (5K-20K),0.9991,0.0,0.0
17958,PAGADO,5993.27,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,3. ALTO (5K-20K),0.9973,0.0,0.0
18642,PAGADO,5359.79,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,3. ALTO (5K-20K),0.9973,0.0,0.0
20007,PAGADO,5861.95,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,3. ALTO (5K-20K),0.9993,0.0,0.0
20674,PAGADO,5835.47,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,3. ALTO (5K-20K),0.9937,0.0,0.0
21358,PAGADO,5998.49,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,3. ALTO (5K-20K),0.9987,0.0,0.0
633,PAGADO,4325.33,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9992,0.0,0.0
1978,PAGADO,4126.95,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9994,0.0,0.0
2670,PAGADO,4056.48,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9991,0.0,0.0
3318,PAGADO,3566.44,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9978,0.0,0.0
3998,PAGADO,6136.05,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9991,0.0,0.0
4671,PAGADO,6979.64,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9993,0.0,0.0
5351,PAGADO,6912.79,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9995,0.0,0.0
6030,PAGADO,6709.41,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9991,0.0,0.0
6730,PAGADO,5463.98,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9991,0.0,0.0
7420,PAGADO,4505.76,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9993,0.0,0.0
8093,PAGADO,2813.69,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9989,0.0,0.0
9471,PAGADO,4226.15,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9994,0.0,0.0
10140,PAGADO,6713.37,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9991,0.0,0.0
10818,PAGADO,3873.2,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9989,0.0,0.0
11492,PAGADO,6377.34,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9993,0.0,0.0
12169,PAGADO,5203.89,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9982,0.0,0.0
14226,PAGADO,6557.06,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9993,0.0,0.0
14907,PAGADO,3571.75,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9973,0.0,0.0
16265,PAGADO,3553.88,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9979,0.0,0.0
16942,PAGADO,7263.95,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9989,0.0,0.0
17619,PAGADO,3148.9,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9984,0.0,0.0
18982,PAGADO,6694.22,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9993,0.0,0.0
20341,PAGADO,5455.95,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9992,0.0,0.0
21027,PAGADO,5742.34,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9991,0.0,0.0
615,PAGADO,856.83,0.0,AHORRO,COMISION RETIRO CORRESPONSAL B,1. BAJO (<1K),0.9583,0.0,0.0
1299,PAGADO,866.5,0.0,AHORRO,COMISION RETIRO CORRESPONSAL B,1. BAJO (<1K),0.9683,0.0,0.0
1965,PAGADO,876.18,0.0,AHORRO,COMISION RETIRO CORRESPONSAL B,1. BAJO (<1K),0.9717,0.0,0.0
2653,PAGADO,885.85,0.0,AHORRO,COMISION RETIRO CORRESPONSAL B,1. BAJO (<1K),0.9396,0.0,0.0
3301,PARCIAL,895.53,120.32,AHORRO,COMISION RETIRO CORRESPONSAL B,1. BAJO (<1K),0.1098,13.21,107.11
3981,PAGADO,905.2,0.0,AHORRO,COMISION RETIRO CORRESPONSAL B,1. BAJO (<1K),0.9341,0.0,0.0
6012,PAGADO,934.22,0.0,AHORRO,COMISION RETIRO CORRESPONSAL B,1. BAJO (<1K),0.8967,0.0,0.0
6717,PAGADO,943.9,0.0,AHORRO,COMISION RETIRO CORRESPONSAL B,1. BAJO (<1K),0.949,0.0,0.0
8078,PAGADO,963.24,0.0,AHORRO,COMISION RETIRO CORRESPONSAL B,1. BAJO (<1K),0.9537,0.0,0.0
8765,PAGADO,972.92,0.0,AHORRO,COMISION RETIRO CORRESPONSAL B,1. BAJO (<1K),0.9533,0.0,0.0
9452,PAGADO,982.59,0.0,AHORRO,COMISION RETIRO CORRESPONSAL B,1. BAJO (<1K),0.9363,0.0,0.0
10126,PARCIAL,992.27,144.07,AHORRO,COMISION RETIRO CORRESPONSAL B,1. BAJO (<1K),0.1797,25.89,118.18
11475,PAGADO,1011.61,0.0,AHORRO,COMISION RETIRO CORRESPONSAL B,2. MEDIO (1K-5K),0.9439,0.0,0.0
12151,PAGADO,1021.29,0.0,AHORRO,COMISION RETIRO CORRESPONSAL B,2. MEDIO (1K-5K),0.9524,0.0,0.0
12831,PAGADO,1030.96,0.0,AHORRO,COMISION RETIRO CORRESPONSAL B,2. MEDIO (1K-5K),0.9439,0.0,0.0
13519,PAGADO,1040.63,0.0,AHORRO,COMISION RETIRO CORRESPONSAL B,2. MEDIO (1K-5K),0.9535,0.0,0.0
14211,PAGADO,1050.31,0.0,AHORRO,COMISION RETIRO CORRESPONSAL B,2. MEDIO (1K-5K),0.9395,0.0,0.0
14892,PAGADO,1059.98,0.0,AHORRO,COMISION RETIRO CORRESPONSAL B,2. MEDIO (1K-5K),0.9422,0.0,0.0
15589,PAGADO,1069.66,0.0,AHORRO,COMISION RETIRO CORRESPONSAL B,2. MEDIO (1K-5K),0.9439,0.0,0.0
16249,PAGADO,1079.33,0.0,AHORRO,COMISION RETIRO CORRESPONSAL B,2. MEDIO (1K-5K),0.9395,0.0,0.0
16925,PAGADO,1089.0,0.0,AHORRO,COMISION RETIRO CORRESPONSAL B,2. MEDIO (1K-5K),0.947,0.0,0.0
17600,PAGADO,1098.68,0.0,AHORRO,COMISION RETIRO CORRESPONSAL B,2. MEDIO (1K-5K),0.9295,0.0,0.0
18292,PAGADO,1108.35,0.0,AHORRO,COMISION RETIRO CORRESPONSAL B,2. MEDIO (1K-5K),0.9415,0.0,0.0
18966,PAGADO,1118.03,0.0,AHORRO,COMISION RETIRO CORRESPONSAL B,2. MEDIO (1K-5K),0.9505,0.0,0.0
19646,PAGADO,1127.7,0.0,AHORRO,COMISION RETIRO CORRESPONSAL B,2. MEDIO (1K-5K),0.9439,0.0,0.0
20325,PAGADO,1137.37,0.0,AHORRO,COMISION RETIRO CORRESPONSAL B,2. MEDIO (1K-5K),0.9604,0.0,0.0
21011,PAGADO,1147.05,0.0,AHORRO,COMISION RETIRO CORRESPONSAL B,2. MEDIO (1K-5K),0.9238,0.0,0.0
21667,PAGADO,1156.72,0.0,AHORRO,COMISION RETIRO CORRESPONSAL B,2. MEDIO (1K-5K),0.9288,0.0,0.0
247,PAGADO,12371.44,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9421,0.0,0.0
934,PAGADO,12097.97,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9519,0.0,0.0
1617,PAGADO,12422.86,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9732,0.0,0.0
2284,PAGADO,12259.65,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9694,0.0,0.0
2962,PAGADO,12473.26,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9915,0.0,0.0
3617,PAGADO,12368.38,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9721,0.0,0.0
4301,PAGADO,13052.14,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9878,0.0,0.0
4972,PAGADO,12821.12,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9827,0.0,0.0
5657,PAGADO,12006.04,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9826,0.0,0.0
6347,PAGADO,12752.41,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9524,0.0,0.0
7052,PAGADO,12970.58,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9719,0.0,0.0
7717,PAGADO,11683.02,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9519,0.0,0.0
8400,PAGADO,12602.55,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9622,0.0,0.0
9083,PAGADO,13142.72,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9746,0.0,0.0
9770,PAGADO,12370.71,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9671,0.0,0.0
10445,PARCIAL,12207.04,539.41,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9859,531.8,7.61
11120,PAGADO,11750.81,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9742,0.0,0.0
11791,PAGADO,12293.18,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9821,0.0,0.0
12468,PAGADO,11740.91,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9767,0.0,0.0
13157,PAGADO,11835.8,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9694,0.0,0.0
13844,PAGADO,11605.25,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9901,0.0,0.0
14536,PAGADO,12222.16,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9642,0.0,0.0
15228,PAGADO,12254.05,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9636,0.0,0.0
15896,PAGADO,12870.49,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9326,0.0,0.0
18605,PAGADO,12625.25,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9749,0.0,0.0
19289,PAGADO,12942.37,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9697,0.0,0.0
19976,PAGADO,11686.99,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9623,0.0,0.0
20645,PAGADO,12747.57,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9765,0.0,0.0
21325,PAGADO,12230.58,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,3. ALTO (5K-20K),0.9747,0.0,0.0
206,PAGADO,3267.62,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9994,0.0,0.0
895,PAGADO,3471.06,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9985,0.0,0.0
1580,PAGADO,3341.47,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9994,0.0,0.0
2244,PAGADO,3272.46,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9995,0.0,0.0
2925,PAGADO,3212.79,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.999,0.0,0.0
3579,PAGADO,3126.67,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9992,0.0,0.0
4265,PAGADO,3304.02,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9991,0.0,0.0
4935,PAGADO,3208.64,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9991,0.0,0.0
5620,PAGADO,3348.6,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9993,0.0,0.0
6311,PAGADO,3170.74,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9991,0.0,0.0
7012,PAGADO,3507.5,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9993,0.0,0.0
7680,PAGADO,3257.13,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9984,0.0,0.0
8359,PAGADO,3111.2,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9992,0.0,0.0
9043,PAGADO,3252.29,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9988,0.0,0.0
9733,PAGADO,3118.45,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9993,0.0,0.0
10408,PAGADO,3264.52,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9991,0.0,0.0
12431,PAGADO,3426.97,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9991,0.0,0.0
13116,PAGADO,3386.15,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9992,0.0,0.0
13806,PAGADO,3191.14,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9993,0.0,0.0
15186,PAGADO,3152.34,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9993,0.0,0.0
15861,PAGADO,3386.23,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9995,0.0,0.0
16534,PAGADO,3190.88,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9991,0.0,0.0
17204,PAGADO,3257.65,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.999,0.0,0.0
17886,PAGADO,3476.99,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9995,0.0,0.0
18571,PAGADO,3226.84,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9992,0.0,0.0
19252,PAGADO,3192.33,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9993,0.0,0.0
19937,PAGADO,3251.07,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9993,0.0,0.0
20604,PAGADO,3449.31,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9995,0.0,0.0
21289,PAGADO,3345.27,0.0,AHORRO,COBRO SERVICIO TRANSPORTE,2. MEDIO (1K-5K),0.9995,0.0,0.0
637,PAGADO,4136.55,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,2. MEDIO (1K-5K),0.9986,0.0,0.0
1984,PAGADO,4229.95,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,2. MEDIO (1K-5K),0.9994,0.0,0.0
2673,PAGADO,4276.66,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,2. MEDIO (1K-5K),0.9992,0.0,0.0
4002,PAGADO,4370.06,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,2. MEDIO (1K-5K),0.9981,0.0,0.0
4677,PAGADO,4416.76,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,2. MEDIO (1K-5K),0.9987,0.0,0.0
5357,PAGADO,4463.47,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,2. MEDIO (1K-5K),0.9955,0.0,0.0
6036,PAGADO,4510.17,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,2. MEDIO (1K-5K),0.9989,0.0,0.0
6736,PAGADO,4556.87,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,2. MEDIO (1K-5K),0.9992,0.0,0.0
7426,PAGADO,4603.58,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,2. MEDIO (1K-5K),0.999,0.0,0.0
8099,PAGADO,4650.28,0.0,AHORRO,CARGO FISCAL TRANSACCIONAL,2. MEDIO (1K-5K),0.9994,0.0,0.0
